"Time (ms)","Recording (a.u.)"
6.854426304E0,1.232778595E-5
6.875260427E0,1.660935413E-5
6.896094549E0,3.020169424E-5
6.916928672E0,5.916090959E-5
6.937762794E0,5.332378350E-5
6.958596917E0,7.224411092E-5
6.979431039E0,5.557299664E-5
7.000265162E0,1.409897050E-5
7.021099284E0,4.830620583E-6
7.041933407E0,5.555600637E-6
7.062767529E0,-4.915087629E-6
7.083601652E0,-7.930945685E-6
7.104435774E0,-1.116439421E-6
7.125269897E0,6.165991635E-6
7.146104019E0,1.012140456E-5
7.166938142E0,3.167974228E-6
7.187772264E0,9.375502486E-6
7.208606387E0,1.330209329E-6
7.229440509E0,5.824376331E-6
7.250274632E0,2.918126484E-5
7.271108754E0,2.826741002E-5
7.291942877E0,3.100268077E-5
7.312776999E0,2.789636710E-5
7.333611122E0,1.015573503E-6
7.354445244E0,-2.524531192E-5
7.375279367E0,-5.623012839E-5
7.396113489E0,-7.774644473E-5
7.416947612E0,-8.004964911E-5
7.437781734E0,-1.133689657E-4
7.458615857E0,-1.041189535E-4
7.479449979E0,-8.865415293E-5
7.500284102E0,-9.943615441E-5
7.521118224E0,-5.852967297E-5
7.541952347E0,-6.537144509E-5
7.562786469E0,-6.874002429E-5
7.583620592E0,-3.618090341E-5
7.604454714E0,-4.092358267E-6
7.625288837E0,4.677258767E-5
7.646122959E0,7.588284643E-5
7.666957082E0,9.732409671E-5
7.687791204E0,8.494545182E-5
7.708625327E0,8.138851263E-5
7.729459449E0,1.041766591E-4
7.750293572E0,1.259061100E-4
7.771127694E0,1.324272744E-4
7.791961817E0,1.056377514E-4
7.812795939E0,1.029459308E-4
7.833630062E0,7.898644253E-5
7.854464184E0,5.060852345E-5
7.875298307E0,4.554845873E-5
7.896132429E0,3.740856846E-5
7.916966552E0,3.431897858E-5
7.937800674E0,1.792726107E-5
7.958634797E0,8.766166502E-6
7.979468919E0,-1.793251249E-5
8.000303042E0,-3.149410622E-5
8.021137164E0,-1.692838123E-5
8.041971287E0,-4.867262305E-6
8.062805409E0,1.438132858E-5
8.083639532E0,1.956157939E-5
8.104473654E0,8.453131159E-6
8.125307777E0,-2.715402843E-6
8.146141899E0,1.595661706E-5
8.166976022E0,2.754139132E-5
8.187810144E0,3.754847785E-5
8.208644267E0,6.843689334E-5
8.229478389E0,5.852399408E-5
8.250312512E0,4.724303653E-5
8.271146634E0,4.744368925E-5
8.291980757E0,2.372811650E-5
8.312814879E0,4.764711048E-5
8.333649002E0,7.977869245E-5
8.354483124E0,6.866495096E-5
8.375317247E0,9.314886847E-5
8.396151369E0,7.103078678E-5
8.416985492E0,3.021848352E-5
8.437819614E0,5.705965668E-5
8.458653737E0,5.013310147E-5
8.479487859E0,6.228149141E-5
8.500321982E0,1.109563163E-4
8.521156104E0,1.307228958E-4
8.541990227E0,1.270594948E-4
8.562824349E0,1.239722478E-4
8.583658472E0,1.344401244E-4
8.604492594E0,1.096386550E-4
8.625326717E0,9.762131231E-5
8.646160839E0,7.969570288E-5
8.666994962E0,5.167865675E-5
8.687829084E0,6.955487333E-5
8.708663207E0,6.243545795E-5
8.729497329E0,8.327687829E-5
8.750331452E0,1.190818220E-4
8.771165574E0,1.270869252E-4
8.791999697E0,1.467042166E-4
8.812833819E0,1.291319059E-4
8.833667942E0,1.277740812E-4
8.854502064E0,1.543511025E-4
8.875336187E0,1.840675395E-4
8.896170309E0,2.181432210E-4
8.917004432E0,2.160323056E-4
8.937838554E0,2.133620874E-4
8.958672677E0,1.938281493E-4
8.979506799E0,1.779309969E-4
9.000340922E0,1.790175302E-4
9.021175045E0,1.577929070E-4
9.042009167E0,1.418116735E-4
9.062843290E0,1.224451844E-4
9.083677412E0,1.305279729E-4
9.104511535E0,1.205422013E-4
9.125345657E0,1.123451948E-4
9.146179780E0,1.523716201E-4
9.167013902E0,1.526577107E-4
9.187848025E0,1.826479856E-4
9.208682147E0,2.248936944E-4
9.229516270E0,2.587604977E-4
9.250350392E0,2.937767422E-4
9.271184515E0,2.918148239E-4
9.292018637E0,3.189398849E-4
9.312852760E0,3.006371844E-4
9.333686882E0,3.045354097E-4
9.354521005E0,3.599249758E-4
9.375355127E0,3.447576019E-4
9.396189250E0,3.568757966E-4
9.417023372E0,3.685238189E-4
9.437857495E0,3.428997297E-4
9.458691617E0,3.213501768E-4
9.479525740E0,3.014640824E-4
9.500359862E0,3.073324624E-4
9.521193985E0,2.931569761E-4
9.542028107E0,2.854123304E-4
9.562862230E0,3.046603524E-4
9.583696352E0,2.951509377E-4
9.604530475E0,3.008162603E-4
9.625364597E0,3.182208457E-4
9.646198720E0,2.978789271E-4
9.667032842E0,2.864035196E-4
9.687866965E0,2.861301473E-4
9.708701087E0,2.891129407E-4
9.729535210E0,2.865879505E-4
9.750369332E0,2.788825368E-4
9.771203455E0,2.619524021E-4
9.792037577E0,2.392856113E-4
9.812871700E0,2.506549354E-4
9.833705822E0,2.317093313E-4
9.854539945E0,2.401093807E-4
9.875374067E0,2.584952454E-4
9.896208190E0,2.278168395E-4
9.917042312E0,2.419932571E-4
9.937876435E0,2.639810846E-4
9.958710557E0,3.056795103E-4
9.979544680E0,3.334150533E-4
