"Time (ms)","Recording (a.u.)"
8.687829084E0,2.136230469E-4
8.708663207E0,1.831054688E-4
8.729497329E0,2.746582031E-4
8.750331452E0,9.155273438E-5
8.771165574E0,2.441406250E-4
8.791999697E0,2.441406250E-4
8.812833819E0,2.136230469E-4
8.833667942E0,2.746582031E-4
8.854502064E0,1.220703125E-4
8.875336187E0,3.662109375E-4
8.896170309E0,2.441406250E-4
8.917004432E0,2.746582031E-4
8.937838554E0,3.662109375E-4
8.958672677E0,2.746582031E-4
8.979506799E0,3.356933594E-4
9.000340922E0,2.441406250E-4
9.021175045E0,2.746582031E-4
9.042009167E0,3.051757812E-4
9.062843290E0,3.051757812E-4
9.083677412E0,3.051757812E-4
9.104511535E0,4.272460938E-4
9.125345657E0,3.356933594E-4
9.146179780E0,3.662109375E-4
9.167013902E0,4.272460938E-4
9.187848025E0,4.272460938E-4
9.208682147E0,4.272460938E-4
9.229516270E0,4.577636719E-4
9.250350392E0,4.577636719E-4
9.271184515E0,5.187988281E-4
9.292018637E0,4.272460938E-4
9.312852760E0,5.187988281E-4
9.333686882E0,4.577636719E-4
9.354521005E0,4.882812500E-4
9.375355127E0,4.577636719E-4
9.396189250E0,3.662109375E-4
9.417023372E0,5.493164062E-4
9.437857495E0,3.967285156E-4
9.458691617E0,5.187988281E-4
9.479525740E0,4.577636719E-4
9.500359862E0,3.967285156E-4
9.521193985E0,5.187988281E-4
9.542028107E0,4.577636719E-4
9.562862230E0,4.272460938E-4
9.583696352E0,4.882812500E-4
9.604530475E0,3.356933594E-4
9.625364597E0,5.493164062E-4
9.646198720E0,3.051757812E-4
9.667032842E0,3.967285156E-4
9.687866965E0,4.272460938E-4
9.708701087E0,3.356933594E-4
9.729535210E0,3.662109375E-4
9.750369332E0,4.272460938E-4
9.771203455E0,3.967285156E-4
9.792037577E0,3.356933594E-4
9.812871700E0,4.272460938E-4
9.833705822E0,4.882812500E-4
9.854539945E0,3.662109375E-4
9.875374067E0,5.187988281E-4
9.896208190E0,3.967285156E-4
9.917042312E0,3.662109375E-4
9.937876435E0,4.272460938E-4
9.958710557E0,3.051757812E-4
9.979544680E0,3.051757812E-4
